,metal,ox,ligstr,complex.size,spin,geom
0,co,2.0,acac_acac_acac_acac,29.0,4.0,tetrahedral
1,co,2.0,aceticacidbipyridine_aceticacidbipyridine_aceticacidbipyridine_aceticacidbipyridine,65.0,4.0,tetrahedral
2,co,2.0,acetonitrile_acetonitrile_acetonitrile_acetonitrile,25.0,4.0,tetrahedral
3,co,2.0,ammonia_ammonia_ammonia_ammonia,17.0,4.0,tetrahedral
4,co,2.0,bipy_bipy_bipy_bipy,41.0,4.0,tetrahedral
5,co,2.0,chloride_chloride_chloride_chloride,5.0,4.0,tetrahedral
6,co,2.0,cn_cn_cn_cn,9.0,4.0,tetrahedral
7,co,2.0,cyanate_cyanate_cyanate_cyanate,13.0,4.0,tetrahedral
8,co,2.0,cyanopyridine_cyanopyridine_cyanopyridine_cyanopyridine,49.0,4.0,tetrahedral
9,co,2.0,fluoride_fluoride_fluoride_fluoride,5.0,4.0,tetrahedral
10,co,2.0,formaldehyde_formaldehyde_formaldehyde_formaldehyde,17.0,4.0,tetrahedral
11,co,2.0,furan_furan_furan_furan,37.0,4.0,tetrahedral
12,co,2.0,hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide,13.0,4.0,tetrahedral
13,co,2.0,hydroxyl_hydroxyl_hydroxyl_hydroxyl,9.0,4.0,tetrahedral
14,co,2.0,iodide_iodide_iodide_iodide,5.0,4.0,tetrahedral
15,co,2.0,mebipy_mebipy_mebipy_mebipy,53.0,4.0,tetrahedral
16,co,2.0,mec_mec_mec_mec,31.0,4.0,tetrahedral
17,co,2.0,methylamine_methylamine_methylamine_methylamine,29.0,4.0,tetrahedral
18,co,2.0,misc_misc_misc_misc,25.0,4.0,tetrahedral
19,co,2.0,ncs_ncs_ncs_ncs,13.0,4.0,tetrahedral
20,co,2.0,ox_ox_ox_ox,13.0,4.0,tetrahedral
21,co,2.0,phen_phen_phen_phen,45.0,4.0,tetrahedral
22,co,2.0,phenisc_phenisc_phenisc_phenisc,53.0,4.0,tetrahedral
23,co,2.0,phosphine_phosphine_phosphine_phosphine,17.0,4.0,tetrahedral
24,co,2.0,pisc_pisc_pisc_pisc,101.0,4.0,tetrahedral
25,co,2.0,pyridine_pyridine_pyridine_pyridine,45.0,4.0,tetrahedral
26,co,2.0,scn_scn_scn_scn,13.0,4.0,tetrahedral
27,co,2.0,tbuc_tbuc_tbuc_tbuc,49.0,4.0,tetrahedral
28,co,2.0,thiopyridine_thiopyridine_thiopyridine_thiopyridine,49.0,4.0,tetrahedral
29,co,2.0,water_water_water_water,13.0,4.0,tetrahedral
30,co,3.0,acac_acac_acac_acac,29.0,5.0,tetrahedral
31,co,3.0,aceticacidbipyridine_aceticacidbipyridine_aceticacidbipyridine_aceticacidbipyridine,65.0,5.0,tetrahedral
32,co,3.0,acetonitrile_acetonitrile_acetonitrile_acetonitrile,25.0,5.0,tetrahedral
33,co,3.0,ammonia_ammonia_ammonia_ammonia,17.0,5.0,tetrahedral
34,co,3.0,benzisc_benzisc_benzisc_benzisc,65.0,5.0,tetrahedral
35,co,3.0,bipy_bipy_bipy_bipy,41.0,5.0,tetrahedral
36,co,3.0,carbonyl_carbonyl_carbonyl_carbonyl,9.0,5.0,tetrahedral
37,co,3.0,chloride_chloride_chloride_chloride,5.0,5.0,tetrahedral
38,co,3.0,cn_cn_cn_cn,9.0,5.0,tetrahedral
39,co,3.0,cyanopyridine_cyanopyridine_cyanopyridine_cyanopyridine,49.0,5.0,tetrahedral
40,co,3.0,en_en_en_en,25.0,5.0,tetrahedral
41,co,3.0,fluoride_fluoride_fluoride_fluoride,5.0,5.0,tetrahedral
42,co,3.0,formaldehyde_formaldehyde_formaldehyde_formaldehyde,17.0,5.0,tetrahedral
43,co,3.0,furan_furan_furan_furan,37.0,5.0,tetrahedral
44,co,3.0,hydroxyl_hydroxyl_hydroxyl_hydroxyl,9.0,5.0,tetrahedral
45,co,3.0,iodide_iodide_iodide_iodide,5.0,5.0,tetrahedral
46,co,3.0,mebipy_mebipy_mebipy_mebipy,53.0,5.0,tetrahedral
47,co,3.0,mec_mec_mec_mec,31.0,5.0,tetrahedral
48,co,3.0,methylamine_methylamine_methylamine_methylamine,29.0,5.0,tetrahedral
49,co,3.0,misc_misc_misc_misc,25.0,5.0,tetrahedral
50,co,3.0,ncs_ncs_ncs_ncs,13.0,5.0,tetrahedral
51,co,3.0,ox_ox_ox_ox,13.0,5.0,tetrahedral
52,co,3.0,phen_phen_phen_phen,45.0,5.0,tetrahedral
53,co,3.0,phenisc_phenisc_phenisc_phenisc,53.0,5.0,tetrahedral
54,co,3.0,phosphine_phosphine_phosphine_phosphine,17.0,5.0,tetrahedral
55,co,3.0,pisc_pisc_pisc_pisc,101.0,5.0,tetrahedral
56,co,3.0,pyridine_pyridine_pyridine_pyridine,45.0,5.0,tetrahedral
57,co,3.0,scn_scn_scn_scn,13.0,5.0,tetrahedral
58,co,3.0,tbuc_tbuc_tbuc_tbuc,49.0,5.0,tetrahedral
59,co,3.0,thiopyridine_thiopyridine_thiopyridine_thiopyridine,49.0,5.0,tetrahedral
60,co,3.0,water_water_water_water,13.0,5.0,tetrahedral
61,cr,2.0,chloride_chloride_chloride_chloride,5.0,5.0,tetrahedral
62,cr,2.0,fluoride_fluoride_fluoride_fluoride,5.0,5.0,tetrahedral
63,cr,2.0,hydroxyl_hydroxyl_hydroxyl_hydroxyl,9.0,5.0,tetrahedral
64,cr,2.0,iodide_iodide_iodide_iodide,5.0,5.0,tetrahedral
65,cr,3.0,acac_acac_acac_acac,29.0,4.0,tetrahedral
66,cr,3.0,chloride_chloride_chloride_chloride,5.0,4.0,tetrahedral
67,cr,3.0,cyanopyridine_cyanopyridine_cyanopyridine_cyanopyridine,49.0,4.0,tetrahedral
68,cr,3.0,fluoride_fluoride_fluoride_fluoride,5.0,4.0,tetrahedral
69,cr,3.0,formaldehyde_formaldehyde_formaldehyde_formaldehyde,17.0,4.0,tetrahedral
70,cr,3.0,hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide,13.0,4.0,tetrahedral
71,cr,3.0,hydroxyl_hydroxyl_hydroxyl_hydroxyl,9.0,4.0,tetrahedral
72,cr,3.0,iodide_iodide_iodide_iodide,5.0,4.0,tetrahedral
73,cr,3.0,mec_mec_mec_mec,31.0,4.0,tetrahedral
74,cr,3.0,ncs_ncs_ncs_ncs,13.0,4.0,tetrahedral
75,cr,3.0,ox_ox_ox_ox,13.0,4.0,tetrahedral
76,cr,3.0,pyridine_pyridine_pyridine_pyridine,45.0,4.0,tetrahedral
77,cr,3.0,scn_scn_scn_scn,13.0,4.0,tetrahedral
78,cr,3.0,tbuc_tbuc_tbuc_tbuc,49.0,4.0,tetrahedral
79,cr,3.0,thiopyridine_thiopyridine_thiopyridine_thiopyridine,49.0,4.0,tetrahedral
80,fe,2.0,acac_acac_acac_acac,29.0,5.0,tetrahedral
81,fe,2.0,aceticacidbipyridine_aceticacidbipyridine_aceticacidbipyridine_aceticacidbipyridine,65.0,5.0,tetrahedral
82,fe,2.0,acetonitrile_acetonitrile_acetonitrile_acetonitrile,25.0,5.0,tetrahedral
83,fe,2.0,ammonia_ammonia_ammonia_ammonia,17.0,5.0,tetrahedral
84,fe,2.0,benzisc_benzisc_benzisc_benzisc,65.0,5.0,tetrahedral
85,fe,2.0,bipy_bipy_bipy_bipy,41.0,5.0,tetrahedral
86,fe,2.0,carbonyl_carbonyl_carbonyl_carbonyl,9.0,5.0,tetrahedral
87,fe,2.0,chloride_chloride_chloride_chloride,5.0,5.0,tetrahedral
88,fe,2.0,cn_cn_cn_cn,9.0,5.0,tetrahedral
89,fe,2.0,cyanate_cyanate_cyanate_cyanate,13.0,5.0,tetrahedral
90,fe,2.0,cyanopyridine_cyanopyridine_cyanopyridine_cyanopyridine,49.0,5.0,tetrahedral
91,fe,2.0,en_en_en_en,25.0,5.0,tetrahedral
92,fe,2.0,fluoride_fluoride_fluoride_fluoride,5.0,5.0,tetrahedral
93,fe,2.0,formaldehyde_formaldehyde_formaldehyde_formaldehyde,17.0,5.0,tetrahedral
94,fe,2.0,furan_furan_furan_furan,37.0,5.0,tetrahedral
95,fe,2.0,hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide,13.0,5.0,tetrahedral
96,fe,2.0,hydroxyl_hydroxyl_hydroxyl_hydroxyl,9.0,5.0,tetrahedral
97,fe,2.0,iodide_iodide_iodide_iodide,5.0,5.0,tetrahedral
98,fe,2.0,mebipy_mebipy_mebipy_mebipy,53.0,5.0,tetrahedral
99,fe,2.0,mec_mec_mec_mec,31.0,5.0,tetrahedral
